date	ARs	date
1980-08-27	8.00009	1980-08-27 06:00:00
1980-08-31	5.000509999999991	1980-08-31 18:00:00
1980-09-01	15.000249999999994	1980-09-01 00:00:00
1980-09-05	9.000239999999962	1980-09-05 18:00:00
1980-09-06	6.00030000000001	1980-09-06 18:00:00
1980-09-07	11.001270000000005	1980-09-07 00:00:00
1980-09-24	2.0013800000000117	1980-09-24 18:00:00
1980-09-25	3.0012000000000114	1980-09-25 06:00:00
1980-09-28	3.002820000000014	1980-09-28 18:00:00
1980-10-05	6.003089999999986	1980-10-05 18:00:00
1980-10-06	7.003179999999986	1980-10-06 06:00:00
1980-10-11	14.001059999999995	1980-10-11 18:00:00
1980-10-13	3.0018599999999935	1980-10-13 06:00:00
1980-10-14	7.000869999999992	1980-10-14 06:00:00
1980-10-15	5.0015300000000025	1980-10-15 18:00:00
1980-10-16	5.001249999999999	1980-10-16 00:00:00
1980-10-23	4.000550000000004	1980-10-23 18:00:00
1980-10-24	2.0018499999999904	1980-10-24 18:00:00
1980-11-01	6.000079999999997	1980-11-01 12:00:00
1980-12-19	3.002769999999998	1980-12-19 00:00:00
1980-12-20	4.0019399999999905	1980-12-20 06:00:00
1980-12-22	3.0025699999999915	1980-12-22 18:00:00
1980-12-23	7.001630000000006	1980-12-23 18:00:00
1980-12-24	11.000559999999993	1980-12-24 06:00:00
1980-12-26	5.001919999999998	1980-12-26 18:00:00
1980-12-27	13.001470000000012	1980-12-27 18:00:00
1980-12-28	13.000929999999983	1980-12-28 18:00:00
1981-01-07	6.000290000000007	1981-01-07 18:00:00
1981-01-11	10.001550000000009	1981-01-11 18:00:00
1981-01-12	12.00182000000001	1981-01-12 12:00:00
1981-01-25	7.002260000000007	1981-01-25 18:00:00
1981-01-26	6.001569999999987	1981-01-26 12:00:00
1981-01-27	6.000750000000011	1981-01-27 12:00:00
1981-02-04	4.002219999999994	1981-02-04 18:00:00
1981-02-05	6.002579999999995	1981-02-05 12:00:00
1981-02-06	14.000499999999988	1981-02-06 12:00:00
1981-02-13	6.002350000000007	1981-02-13 18:00:00
1981-02-17	3.0026599999999917	1981-02-17 12:00:00
1981-02-21	7.001329999999996	1981-02-21 00:00:00
1981-02-22	5.000830000000008	1981-02-22 00:00:00
1981-02-24	6.001869999999997	1981-02-24 12:00:00
1981-02-25	6.000499999999988	1981-02-25 18:00:00
1981-02-26	4.000249999999994	1981-02-26 00:00:00
1981-03-18	5.001260000000002	1981-03-18 18:00:00
1981-03-19	8.000779999999992	1981-03-19 06:00:00
1981-03-20	6.002730000000014	1981-03-20 06:00:00
1981-04-05	4.00148999999999	1981-04-05 06:00:00
1981-04-06	11.001239999999996	1981-04-06 18:00:00
1981-04-08	5.002010000000013	1981-04-08 18:00:00
1981-04-09	6.000969999999995	1981-04-09 12:00:00
1981-04-10	6.001010000000008	1981-04-10 00:00:00
1981-04-16	3.0032099999999957	1981-04-16 18:00:00
1981-04-17	3.0033399999999943	1981-04-17 06:00:00
1981-05-01	18.000249999999994	1981-05-01 18:00:00
1981-05-12	11.003520000000009	1981-05-12 00:00:00
1981-05-14	4.000630000000001	1981-05-14 12:00:00
1981-05-15	4.002359999999953	1981-05-15 12:00:00
1981-05-24	13.003140000000002	1981-05-24 06:00:00
1981-06-02	6.003350000000012	1981-06-02 18:00:00
1981-06-16	4.003449999999987	1981-06-16 00:00:00
1981-06-17	5.00197	1981-06-17 18:00:00
1981-06-18	6.001720000000006	1981-06-18 18:00:00
1981-06-20	6.000810000000001	1981-06-20 18:00:00
1981-06-21	14.000380000000007	1981-06-21 12:00:00
1981-07-03	4.002769999999998	1981-07-03 18:00:00
1981-07-04	2.002650000000017	1981-07-04 06:00:00
1981-07-08	7.002280000000013	1981-07-08 18:00:00
1981-07-09	4.002769999999998	1981-07-09 00:00:00
1981-07-11	15.001470000000012	1981-07-11 12:00:00
1981-07-19	3.000169999999997	1981-07-19 12:00:00
1981-07-23	5.003250000000008	1981-07-23 00:00:00
1981-08-24	15.000490000000013	1981-08-24 12:00:00
1981-08-30	7.00336999999999	1981-08-30 06:00:00
1981-08-31	6.001589999999993	1981-08-31 18:00:00
1981-09-08	7.003019999999992	1981-09-08 00:00:00
1981-09-23	3.0027200000000107	1981-09-23 06:00:00
1981-09-25	15.002550000000014	1981-09-25 18:00:00
1981-09-26	17.002460000000013	1981-09-26 00:00:00
1981-10-09	14.001389999999986	1981-10-09 18:00:00
1981-10-10	12.001110000000011	1981-10-10 06:00:00
1981-10-17	5.0001100000000065	1981-10-17 12:00:00
1981-10-26	4.002559999999988	1981-10-26 18:00:00
1981-10-28	5.0021600000000035	1981-10-28 18:00:00
1981-10-29	10.002649999999988	1981-10-29 18:00:00
1981-10-30	4.00354999999999	1981-10-30 18:00:00
1981-10-31	5.002630000000011	1981-10-31 18:00:00
1981-11-04	5.004909999999995	1981-11-04 00:00:00
1981-11-18	4.002919999999989	1981-11-18 18:00:00
1981-11-19	5.0020199999999875	1981-11-19 18:00:00
