Fecha	Hora	dd	ff
1/08/2003	6	320	26
1/08/2003	12	340	30
1/08/2003	18	290	10
6/08/2003	0	280	15
6/08/2003	6	280	9
6/08/2003	12	300	9
6/08/2003	18	330	20
7/08/2003	0	360	18
7/08/2003	6	360	18
7/08/2003	12	340	15
7/08/2003	18	360	22
8/08/2003	0	350	18
8/08/2003	6	310	10
8/08/2003	12	300	12
8/08/2003	18	290	31
9/08/2003	0	310	16
9/08/2003	6	330	24
9/08/2003	12	300	32
9/08/2003	18	310	38
10/08/2003	0	320	38
10/08/2003	6	270	36
10/08/2003	12	260	28
10/08/2003	18	310	18
11/08/2003	0	290	27
11/08/2003	6	290	25
11/08/2003	12	280	21
11/08/2003	18	330	24
15/08/2003	0	270	38
15/08/2003	6	270	32
15/08/2003	12	270	45
15/08/2003	18	280	32
16/08/2003	0	300	35
16/08/2003	6	300	33
16/08/2003	12	350	28
16/08/2003	18	360	40
17/08/2003	0	330	33
17/08/2003	6	300	40
17/08/2003	12	300	30
17/08/2003	18	320	10
27/08/2003	0	320	13
27/08/2003	6	270	19
27/08/2003	12	250	7
27/08/2003	18	290	18
28/08/2003	0	270	11
28/08/2003	6	290	10
28/08/2003	12	300	7
28/08/2003	18	330	6
29/08/2003	0	360	6
29/08/2003	6	330	6
29/08/2003	12	320	6
29/08/2003	18	300	31
30/08/2003	0	300	25
30/08/2003	6	290	24
30/08/2003	12	330	19
30/08/2003	18	320	20
31/08/2003	0	300	18
31/08/2003	6	270	25
31/08/2003	12	270	22
31/08/2003	18	300	15
1/09/2003	0	300	18
1/09/2003	6	280	14
1/09/2003	12	270	15
1/09/2003	18	280	11
2/09/2003	0	350	12
2/09/2003	6	360	24
2/09/2003	12	350	19
2/09/2003	18	300	40
17/09/2003	0	330	19
17/09/2003	6	330	15
17/09/2003	12	330	22
17/09/2003	18	330	30
18/09/2003	0	330	30
18/09/2003	6	340	19
18/09/2003	12	360	12
18/09/2003	18	360	17
19/09/2003	0	360	20
19/09/2003	6	320	6
19/09/2003	12	330	4
19/09/2003	18	360	17
20/09/2003	0	360	20
20/09/2003	6	360	15
20/09/2003	12	350	14
20/09/2003	18	280	10
21/09/2003	0	350	15
21/09/2003	6	320	35
21/09/2003	12	300	35
21/09/2003	18	330	30
22/09/2003	0	330	20
22/09/2003	6	340	28
22/09/2003	12	350	30
22/09/2003	18	350	32
23/09/2003	0	350	30
23/09/2003	6	320	17
23/09/2003	12	350	14
23/09/2003	18	320	16
24/09/2003	0	350	16
24/09/2003	6	300	22
24/09/2003	12	320	15
24/09/2003	18	300	20
25/09/2003	0	300	18
25/09/2003	6	300	26
25/09/2003	12	300	30
25/09/2003	18	320	21
26/09/2003	0	350	26
26/09/2003	6	350	18
26/09/2003	12	350	16
26/09/2003	18	310	10
27/09/2003	0	40	4
27/09/2003	6	360	12
27/09/2003	12	360	20
27/09/2003	18	360	9
31/3/2004	0	360	14
31/3/2004	6	360	17
31/3/2004	12	10	26
31/3/2004	18	350	19
1/4/2004	0	350	18
1/4/2004	6	320	13
1/4/2004	12	300	17
1/4/2004	18	350	18
2/4/2004	0	350	18
2/4/2004	6	350	14
2/4/2004	12	10	17
2/4/2004	18	10	10
3/4/2004	0	360	18
3/4/2004	6	350	14
3/4/2004	12	340	5
3/4/2004	18	100	3
1/06/2004	0	340	8
1/06/2004	6	320	5
1/06/2004	12	10	10
1/06/2004	18	360	14
2/06/2004	0	360	16
2/06/2004	6	310	15
2/06/2004	12	290	26
2/06/2004	18	300	20
3/06/2004	0	350	13
3/06/2004	6	360	15
3/06/2004	12	330	8
3/06/2004	18	100	9
4/06/2004	0	90	23
4/06/2004	6	360	17
4/06/2004	12	360	7
4/06/2004	18	360	21
5/06/2004	0	360	15
5/06/2004	6	350	25
5/06/2004	12	320	20
5/06/2004	18	20	17
17/07/2004	0	240	28
17/07/2004	6	230	31
17/07/2004	12	260	11
