date	temperature	p90_har	heatwave	label	ARs_bin
1996-02-18	5.3	3.246030000640425	True	1	6
1996-02-19	5.6	3.237138622196207	True	1	332
1997-01-22	5.1	3.0937470684204023	True	15	96
1999-11-14	1.6	1.0107914876821142	True	41	208
2000-02-03	3.5	3.254920140970208	True	44	316
2001-12-13	4.0	1.8787264998362017	True	58	154
2005-12-30	5.4	2.46201760325312	True	74	101
2006-01-21	3.2	3.0740791507554874	True	77	10
2006-01-22	6.9	3.0937470684204023	True	77	51
