date	temperature	p90_har	heatwave	label
2006-03-17	3.6	2.7100305332791583	True	78
2006-03-21	3.0	2.5913246751117307	True	79
2006-03-22	3.4	2.560660576046794	True	79
2006-03-23	4.0	2.529644475080641	True	79
2006-03-26	2.9	2.4346904190707677	True	80
2006-03-27	4.2	2.402470241362364	True	80
2006-03-28	3.0	2.369997597093922	True	80
2006-03-29	2.6	2.337290838117388	True	80
2006-03-30	3.2	2.3043677387394323	True	80
2006-03-31	2.6	2.2712454745285164	True	80
