Dia	Mes	Año	Hora	BCAA_T	FREI_T	KOREA_T
17	11	1999	12	1.1	0.7	1
17	11	1999	18	1.7	1	1.7
18	11	1999	0	1.1	0.9	1.1
18	11	1999	6	1.1	1	1.1
18	11	1999	12	1.7	0.8	1.3
18	11	1999	18	1.4	1.3	1.5
19	11	1999	0	1.1	0.9	1.1
19	11	1999	6	0.6	0.5	1.2
19	11	1999	12	1.7	1.3	2.9
19	11	1999	18	1.7	1.3	2.5
24	12	1999	0	2.2	1	2.1
24	12	1999	6	1.7	0.5	2.9
24	12	1999	12	2.2	1.6	3.6
24	12	1999	18	2.8	1.7	3.2
25	12	1999	0	2.2	1.8	3
25	12	1999	6	1.1	0.9	1.5
25	12	1999	12	2.2	1.8	2.4
25	12	1999	18	5	3.1	3.8
26	12	1999	0	2.8	0.8	1.6
26	12	1999	6	1.7	1.4	3.3
26	12	1999	12	2.2	1.9	4.4
26	12	1999	18	4.4	4.6	6.7
27	12	1999	0	4.4	3.5	4.6
27	12	1999	6	2.2	2.4	3.2
27	12	1999	12	2.8	2	2.7
27	12	1999	18	4.4	2.4	2.9
28	12	1999	0	2.8	2.4	2.8
28	12	1999	6	2.2	1.9	2.8
28	12	1999	12	2.8	1.8	2.8
28	12	1999	18	2.8	2.1	3.1
12	1	2003	0	0.3	-0.4	2
12	1	2003	6	2.2	2.2	3
12	1	2003	12	2.9	2.3	2.7
12	1	2003	18	5.8	3.9	5.9
13	1	2003	0	3.2	2.8	4
13	1	2003	6	2.6	2.3	3.3
13	1	2003	12	2.9	2.4	4.3
13	1	2003	18	5.9	3.3	7.4
14	1	2003	0	4.6	4.3	5.6
14	1	2003	6	3.4	2.7	4.4
14	1	2003	12	2.6	1.3	2
14	1	2003	18	2.8	1.8	2.1
14	7	2003	0	0	-0.3	0.1
14	7	2003	6	-0.5	-0.1	0
14	7	2003	12	-1	-1.4	-1.2
14	7	2003	18	-0.9	-1.1	-0.7
15	7	2003	0	-0.8	-1.1	-0.2
15	7	2003	6	-0.9	-1.1	-0.4
15	7	2003	12	-1	-1.5	-1.1
15	7	2003	18	-1.4	-1.8	-0.6
16	7	2003	0	-1.2	-1.5	-1
16	7	2003	6	-1	-1.8	-0.2
16	7	2003	12	-0.8	-1	-0.5
16	7	2003	18	-0.6	-0.8	-0.3
17	7	2003	0	0.1	-0.9	1.7
17	7	2003	6	1.2	1	1.4
17	7	2003	12	0.9	0.7	1.6
17	7	2003	18	0.6	0.1	1.4
18	7	2003	0	0.5	0.3	1
18	7	2003	6	1.2	1.1	0.9
18	7	2003	12	0.6	0.4	0
18	7	2003	18	0.2	-0.1	-0.4
19	7	2003	0	-1	-0.6	-0.8
19	7	2003	6	-1.2	-1.3	-1.1
19	7	2003	12	-0.2	-0.6	0
19	7	2003	18	1.2	0	0
29	7	2003	0	-0.4	-0.5	-0.7
29	7	2003	6	-0.7	-0.7	-0.7
29	7	2003	12	-0.8	-1.1	-0.5
29	7	2003	18	0.4	0.3	1
30	7	2003	0	1.3	1.2	0.6
30	7	2003	6	-0.1	-0.5	-0.5
30	7	2003	12	-1.4	-1.3	-1
30	7	2003	18	-1.6	-2.1	-1.6
31	7	2003	0	-0.6	-0.8	-0.8
31	7	2003	6	-1.4	-1.2	-1.2
31	7	2003	12	-0.4	-0.5	-0.5
31	7	2003	18	0.1	-0.5	-0.7
1	8	2003	0	-0.6	-0.6	-0.8
1	8	2003	6	-0.7	-0.8	-0.3
1	8	2003	12	-0.5	-0.3	0
1	8	2003	18	-0.7	-0.9	-0.8
6	8	2003	0	-0.8	-0.8	-0.7
6	8	2003	6	-0.6	-0.8	-0.8
6	8	2003	12	-1.2	-1.2	-1.2
6	8	2003	18	-0.4	-0.7	-0.1
7	8	2003	0	-0.8	-1	0.5
7	8	2003	6	0.2	0.1	0.6
7	8	2003	12	0.75	0.1	1.4
7	8	2003	18	0.1	0.1	3.7
8	8	2003	0	0	-0.1	0.1
8	8	2003	6	-0.2	-0.3	-0.2
8	8	2003	12	-0.6	-0.9	-0.6
8	8	2003	18	0.2	-0.6	0.7
9	8	2003	0	-0.6	-0.5	-0.5
9	8	2003	6	0.3	0.2	0.4
9	8	2003	12	1.5	1.5	0.9
9	8	2003	18	2.2	2.3	1.6
10	8	2003	0	2	1.6	1.6
10	8	2003	6	-1.2	-1.2	-1.5
10	8	2003	12	-1.6	-1.6	-1.6
10	8	2003	18	-1.2	-1	-1
11	8	2003	0	0	0	-0.1
11	8	2003	6	-0.2	-0.4	-0.3
11	8	2003	12	-0.6	-0.8	-0.8
11	8	2003	18	-1.6	-1.9	-1.2
15	8	2003	0	0.6	0.3	0.1
15	8	2003	6	0.7	0.5	0.2
15	8	2003	12	0.8	0.7	0.5
15	8	2003	18	0.8	0.6	0.3
16	8	2003	0	0.2	0.1	-0.2
16	8	2003	6	-0.4	-0.2	-0.6
16	8	2003	12	0.2	-0.2	0.4
16	8	2003	18	0	0.1	0.2
17	8	2003	0	1	1.2	0.8
17	8	2003	6	-0.5	-0.5	-0.6
17	8	2003	12	-1	-1.1	-1.4
17	8	2003	18	-1.9	-2.3	-0.8
27	8	2003	0	0	-0.3	-0.2
27	8	2003	6	-0.1	-0.1	-0.1
27	8	2003	12	-1	-1.2	-1.3
27	8	2003	18	-1.7	-1.5	-1.4
28	8	2003	0	0	-0.1	-0.4
28	8	2003	6	0	-0.1	-0.5
28	8	2003	12	-1	-1.2	-1.1
28	8	2003	18	-0.5	-0.7	-0.3
29	8	2003	0	-0.4	-1.2	0
29	8	2003	6	-0.2	-1	0.2
29	8	2003	12	1	0	0.6
29	8	2003	18	1.8	1.5	1.2
30	8	2003	0	0.6	0.6	0.4
30	8	2003	6	0.4	0.2	0
30	8	2003	12	-0.1	-0.2	1
30	8	2003	18	-0.1	-0.3	-0.1
31	8	2003	0	-0.9	-0.9	-1
31	8	2003	6	-0.2	-0.2	-0.3
31	8	2003	12	0.1	0.1	-0.2
31	8	2003	18	0.2	-0.3	-0.3
1	9	2003	0	0	0	-0.3
1	9	2003	6	-0.3	-0.5	-0.6
1	9	2003	12	-1.1	-1.2	-1.5
1	9	2003	18	-0.9	-0.5	-0.5
2	9	2003	0	-1.4	-1.8	-0.1
2	9	2003	6	0	-0.5	0.5
2	9	2003	12	0	-0.2	1.7
2	9	2003	18	1	0.9	1.3
17	9	2003	0	0.7	-0.3	0.6
17	9	2003	6	0.6	-0.1	0.3
17	9	2003	12	0.8	0.3	0.8
17	9	2003	18	0.8	0.2	0.7
18	9	2003	0	0.4	-0.1	0.3
18	9	2003	6	0.3	-0.3	0.4
18	9	2003	12	0.2	-0.3	1
18	9	2003	18	0.4	0.2	1
19	9	2003	0	0.4	0.1	1.2
19	9	2003	6	-0.3	-0.8	-0.3
19	9	2003	12	-0.5	-0.8	-0.2
19	9	2003	18	0.8	-0.3	2.4
20	9	2003	0	1.4	0.2	1.8
20	9	2003	6	0.4	-0.4	2.8
20	9	2003	12	-0.6	-1.3	-0.3
20	9	2003	18	-1	-0.7	-0.8
21	9	2003	0	-1.9	-2.7	-1.1
21	9	2003	6	0.15	0.1	0.2
21	9	2003	12	0	0.3	0.1
21	9	2003	18	0.4	0.7	1.3
22	9	2003	0	0.8	0.4	1.2
22	9	2003	6	1	0.7	1.5
22	9	2003	12	0.6	0.2	0.6
22	9	2003	18	0.6	0.4	1.1
23	9	2003	0	0.4	0.2	0.6
23	9	2003	6	-0.1	-0.2	0
23	9	2003	12	-0.2	-1.2	0.8
23	9	2003	18	-0.45	-0.6	-0.3
24	9	2003	0	-0.6	-1.7	-0.3
24	9	2003	6	-0.2	-0.4	-0.5
24	9	2003	12	-1	-1.6	-0.9
24	9	2003	18	0.4	0.1	0
25	9	2003	0	0.4	0.2	-0.1
25	9	2003	6	0.6	0.8	0.4
25	9	2003	12	0.9	0.9	0.5
25	9	2003	18	2.2	1	4.5
26	9	2003	0	1	0.1	2.2
26	9	2003	6	0	-0.2	0.8
26	9	2003	12	0.2	-0.3	0.8
26	9	2003	18	1.3	0	1.7
27	9	2003	0	1	-0.9	-0.4
27	9	2003	6	2.3	0.4	0.9
27	9	2003	12	0.6	-0.3	1.3
27	9	2003	18	0.8	0	1
31	3	2004	0	1.2	0.8	2.1
31	3	2004	6	2.4	1.6	3.3
31	3	2004	12	3	2.5	4.5
31	3	2004	18	4.2	2.2	6.6
1	4	2004	0	3.6	2.6	3.7
1	4	2004	6	1.8	1.1	1.8
1	4	2004	12	2	1.9	1.8
1	4	2004	18	3.2	2	3.6
2	4	2004	0	4	3.6	6
2	4	2004	6	4.2	2.4	5.5
2	4	2004	12	4.2	3.7	4.6
2	4	2004	18	2.4	1.7	2.7
3	4	2004	0	2.8	2	3.9
3	4	2004	6	2.6	1.6	3.6
3	4	2004	12	2.6	1.9	2.9
3	4	2004	18	3.4	4.2	3.7
1	6	2004	0	0.4	-0.3	0.9
1	6	2004	6	0.5	0	1.4
1	6	2004	12	0.3	-0.1	0.7
1	6	2004	18	1.8	0.8	4.1
2	6	2004	0	1.6	0.5	2.6
2	6	2004	6	0.8	0.2	0.3
2	6	2004	12	0.8	0.5	0.7
2	6	2004	18	0.4	0.3	0.3
3	6	2004	0	0.9	0.1	2.2
3	6	2004	6	0.9	0.1	1.3
3	6	2004	12	1.7	0.5	1.5
3	6	2004	18	0.7	1.3	0.4
4	6	2004	0	2.4	2.2	0.9
4	6	2004	6	1.9	1.1	2.3
4	6	2004	12	-0.8	-1.2	-1
4	6	2004	18	2	0.9	3.5
5	6	2004	0	1.2	0.5	1.8
5	6	2004	6	1	0.3	0
5	6	2004	12	0	-0.2	0.2
5	6	2004	18	0.3	-0.1	0.9
17	7	2004	0	-0.85	-1	-0.7
17	7	2004	6	-1	-1.2	-0.9
17	7	2004	12	-1.05	-1.2	-0.9
17	7	2004	18	1	-1	-0.9
18	7	2004	0	-1.7	-1.7	-1.7
18	7	2004	6	-2.3	-1.7	-1.2
18	7	2004	12	0.6	0.4	0.8
18	7	2004	18	0.3	0	0
19	7	2004	0	0.6	0.3	0.6
19	7	2004	6	0.4	1	1.2
19	7	2004	12	0	-0.1	2
19	7	2004	18	1.3	0.2	1.5
20	7	2004	0	1.4	0.7	2.1
20	7	2004	6	1	0.1	1.5
20	7	2004	12	0.85	0.8	0.9
20	7	2004	18	0.5	0.2	0.3
21	7	2004	0	0	-0.4	0
21	7	2004	6	0.3	-0.4	1.3
21	7	2004	12	-0.4	-0.7	0.7
21	7	2004	18	-0.4	-0.6	-0.2
22	7	2004	0	0.2	-0.4	1.6
22	7	2004	6	0.1	-0.4	1.6
22	7	2004	12	-0.1	-0.5	0.3
22	7	2004	18	-1.3	-1.9	-0.9
23	7	2004	0	-0.8	-1	0.1
23	7	2004	6	0.1	0	0
23	7	2004	12	0.2	0.2	0.6
23	7	2004	18	-1.2	-1.2	-0.8
17	11	2004	0	0.8	0.7	0.8
17	11	2004	6	0.2	-0.1	0.2
17	11	2004	12	1.2	0.6	1.7
17	11	2004	18	1.65	1.3	2
18	11	2004	0	1.8	1.7	1.5
18	11	2004	6	0.95	0.7	1.2
18	11	2004	12	2.3	0.3	4.3
18	11	2004	18	1.4	0.4	2.4
19	11	2004	0	1.4	1.4	1.5
19	11	2004	6	0.3	0.2	0.4
19	11	2004	12	0.6	0.2	0.6
19	11	2004	18	1.6	0.5	1
20	11	2004	0	0.3	0.2	0.4
20	11	2004	6	1	0.2	1.6
20	11	2004	12	2.2	0.5	4.4
20	11	2004	18	1	-0.1	2.1
9	12	2004	0	1	0.5	1
9	12	2004	6	1.6	1.5	2.8
9	12	2004	12	2.4	1.4	2.2
9	12	2004	18	2	1.3	1.5
10	12	2004	0	0.4	0	0.6
10	12	2004	6	0.8	0	2.6
10	12	2004	12	1	0.6	1.1
10	12	2004	18	5.2	1.5	3.3
11	12	2004	0	1	0.5	1.3
11	12	2004	6	3.2	1.4	1.7
11	12	2004	12	3.5	0.5	1
11	12	2004	18	0.4	0.7	1.5
9	2	2005	0	2.8	2.8	2.4
9	2	2005	6	2.8	2.2	2.4
9	2	2005	12	3	2.7	3.4
9	2	2005	18	5	3.7	5
10	2	2005	0	2.15	2.1	2.2
10	2	2005	6	2.4	1.6	2.4
10	2	2005	12	3.4	3	4.7
10	2	2005	18	5.8	4.9	6.7
11	2	2005	0	3.2	2.6	2.8
11	2	2005	6	2.2	2.7	2.2
11	2	2005	12	3.2	3.4	2.9
11	2	2005	18	4.4	4.3	4.3
12	2	2005	0	3	2.6	2.5
12	2	2005	6	2.8	3.6	2.3
12	2	2005	12	3.1	3.5	2.7
12	2	2005	18	3.4	3.1	2.5
8	8	2005	0	-0.95	-0.8	-1.1
8	8	2005	6	-0.7	-0.8	-1.4
8	8	2005	12	-0.6	-0.6	-1.1
8	8	2005	18	-0.2	-0.7	-0.2
9	8	2005	0	-1.3	-1.3	-0.8
9	8	2005	6	-0.6	-0.8	-0.8
9	8	2005	12	-0.2	-0.1	-0.9
9	8	2005	18	-0.4	-0.3	-1
10	8	2005	0	-0.35	0.1	-0.8
10	8	2005	6	-1	-0.8	-1.6
10	8	2005	12	-0.2	-1	0.7
10	8	2005	18	-0.7	-1.2	-1
